ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;885847;369;0;369;62;0;2060;52;0;2392;103;5;6;153;0;151;2;0;1031;0;1031;14;0;14;14;0;0;94;0;523;885545;235802;170220;0;639023;0;885913;83;70;153;0;0;0;0;0;15;0;0
0;885765;309;0;309;38;0;1818;57;0;2111;82;6;7;235;0;229;4;2;1565;0;1565;12;0;12;12;0;0;89;0;458;885518;234636;169163;0;632105;0;885847;148;87;235;0;0;0;0;0;16;0;0
0;885660;297;0;297;40;0;1513;45;0;1768;74;9;2;340;0;324;10;6;2182;0;2182;9;0;9;9;0;0;84;0;367;885389;233101;167585;0;626544;0;885765;239;101;340;0;0;0;0;0;17;0;0
0;885575;280;0;280;25;0;1238;32;0;1427;48;4;5;425;0;406;10;9;2747;0;2747;10;0;10;10;0;0;87;0;289;885264;231421;166376;0;622318;0;885660;317;108;425;0;0;0;0;0;18;0;0
0;885483;288;0;288;15;0;947;22;0;1113;33;2;2;517;0;492;14;11;3258;0;3258;4;0;4;4;0;0;88;0;200;885195;230116;165066;0;613323;0;885575;406;111;517;0;0;0;0;0;19;0;0
0;885399;338;0;338;20;0;714;20;0;852;32;5;3;601;0;571;18;12;3612;0;3612;3;0;3;3;0;0;86;0;121;885113;228707;163599;0;609755;0;885483;485;116;601;0;0;0;0;0;20;0;0
0;885341;425;0;425;30;0;548;27;0;658;54;2;1;659;0;625;21;13;3819;0;3819;11;0;11;11;0;0;91;0;69;885038;227544;162680;0;603312;0;885399;537;122;659;0;0;0;0;0;21;0;0
0;885309;637;0;637;28;0;458;31;0;533;54;4;1;691;0;656;21;14;3739;0;3739;7;0;7;7;0;0;95;0;40;884934;226204;161365;0;599477;0;885341;566;125;691;0;0;0;0;0;22;0;0
0;885282;948;0;948;36;0;393;36;0;446;59;7;6;718;0;683;21;14;3515;0;3515;7;0;7;7;0;0;91;0;24;884955;224834;160137;0;592347;0;885309;582;136;718;0;0;0;0;0;23;0;0
0;885253;1357;0;1357;35;0;341;49;0;400;67;5;12;747;0;710;23;14;3125;0;3125;7;0;7;7;0;0;84;0;9;884873;223772;159065;0;588204;0;885282;597;150;747;0;0;0;0;0;24;0;0
