ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;885940;3763;0;3763;205;0;819;228;0;1121;399;22;12;60;0;56;4;0;578;0;578;14;0;14;14;0;0;106;89;274;885637;228423;163425;0;609598;0;885955;3;57;60;0;365;0;1;0;33;34;0;0;0;0;20;0;0
0;885925;3472;0;3472;285;0;1057;314;0;1350;555;29;15;75;0;70;5;0;630;0;630;9;0;9;8;0;1;106;144;410;885576;227094;162061;0;601875;0;885940;11;64;75;0;487;0;2;0;55;55;0;0;0;0;21;0;0
0;885907;3055;0;3055;313;0;1320;390;0;1643;655;28;20;93;0;86;7;0;722;0;722;11;0;11;11;0;0;106;147;546;885571;225871;160934;0;598376;0;885925;22;71;93;0;584;0;2;0;54;63;0;0;0;0;22;0;0
0;885879;2690;0;2690;324;0;1573;387;0;1927;645;39;27;121;0;111;10;0;802;0;802;12;0;12;12;0;0;106;148;676;885542;224660;159623;0;590243;0;885907;40;81;121;0;583;5;0;0;68;55;0;0;0;0;23;0;0
0;885852;2408;0;2408;294;0;1810;321;0;2142;573;26;16;148;0;137;10;1;881;0;881;7;0;7;7;0;0;105;141;797;885518;223278;158302;0;586775;0;885879;60;88;148;0;512;0;0;0;41;62;0;0;0;0;24;0;0
0;885818;2197;0;2197;278;0;2014;299;0;2350;537;26;14;182;0;171;10;1;939;0;939;11;0;11;11;0;0;106;134;905;885479;221987;157296;0;580361;0;885852;86;96;182;0;488;1;1;0;33;54;0;0;0;0;25;0;0
0;885776;2192;0;2192;186;0;2113;219;0;2463;374;18;13;224;0;212;11;1;1008;0;1008;12;0;12;12;0;0;106;74;947;885467;220771;156149;0;576359;0;885818;118;106;224;0;337;0;1;0;28;39;0;0;0;0;26;0;0
0;885725;2216;0;2216;179;0;2187;197;0;2520;340;26;10;275;0;262;11;2;1108;0;1108;17;0;17;17;0;0;106;86;996;885397;219606;154998;0;570465;0;885776;155;120;275;0;320;0;3;0;22;31;0;0;0;0;27;0;0
0;885677;2303;0;2303;161;0;2240;177;0;2548;306;22;10;323;0;310;11;2;1208;0;1208;7;0;7;7;0;0;106;74;1028;885326;218548;153928;0;565163;0;885725;197;126;323;0;287;0;0;0;28;23;0;0;0;0;28;0;0
0;885593;2364;0;2364;166;0;2248;182;0;2538;306;25;17;407;0;391;14;2;1361;0;1361;10;0;10;10;0;0;105;70;1022;885340;217482;152808;0;561449;0;885677;273;134;407;0;295;0;1;0;28;24;0;0;0;0;29;0;0
0;885489;2435;0;2435;142;0;2172;173;0;2479;270;36;9;511;0;492;16;3;1571;0;1571;14;0;14;14;0;0;106;59;989;885223;216534;151962;0;555978;0;885593;365;146;511;0;260;1;1;0;25;28;0;0;0;0;30;0;0
0;885367;2383;0;2383;184;0;2103;212;0;2387;349;32;15;633;0;612;17;4;1873;0;1873;13;0;13;13;0;0;106;79;956;885116;215417;151063;0;552181;0;885489;477;156;633;0;322;0;1;0;42;31;0;0;0;0;31;0;0
0;885223;2343;0;2343;162;0;1998;224;0;2298;339;39;8;777;0;752;18;7;2173;0;2173;10;0;10;10;0;0;106;63;885;885052;214197;149974;0;547027;0;885367;611;166;777;0;305;0;1;0;37;43;0;0;0;0;32;0;0
0;885089;2263;0;2263;195;0;1914;220;0;2186;356;49;10;911;0;884;18;9;2499;0;2499;9;0;9;9;0;0;106;80;838;884848;213340;148892;0;543561;0;885223;738;173;911;0;331;0;2;0;37;45;0;0;0;0;33;0;0
0;884955;2287;0;2287;159;0;1813;185;0;2052;299;31;14;1045;0;1016;20;9;2807;0;2807;7;0;7;7;0;0;106;78;788;884750;212460;148017;0;538957;0;885089;866;179;1045;0;271;1;1;0;33;38;0;0;0;0;34;0;0
0;884848;2288;0;2288;186;0;1755;227;0;2017;357;37;19;1152;0;1123;20;9;3016;0;3016;9;0;9;9;0;0;106;93;780;884572;211480;147120;0;534749;0;884955;967;185;1152;0;340;2;0;0;39;32;0;0;0;0;35;0;0
