Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
43;0;0;190251;368785;177683;80175;289000;283;399;1070;0;1369;12;9;0;0;0;182;0;30;0;150;14;12;14;14;41;30;255;346;1026;0;0;0;0;0;0;48;160;1584;232;206;631;8;18;862;0;0;10;7;10;787;0;0;9;18;63;825;139;139;515;558994;199950;146378;0;558130;0;0;109768;10064299145;0;202863;10208;44735;0;
44;0;0;190241;368769;177674;80170;288174;251;477;956;0;1319;13;16;0;0;0;131;1;23;0;181;22;9;17;18;60;31;211;408;908;0;0;0;0;0;0;56;145;1395;225;217;600;16;25;744;0;0;9;10;16;819;0;0;7;25;96;759;164;161;558;556730;200074;145845;0;557085;0;0;66018;10064245295;0;203139;10208;44459;0;
45;0;0;190232;368755;177669;80168;287278;322;480;1012;0;1489;13;11;0;0;0;156;2;22;0;121;18;24;20;16;41;15;288;415;977;0;0;0;0;0;0;45;183;1287;228;243;491;13;33;628;0;0;12;9;14;887;0;0;9;25;59;830;152;152;577;557760;199897;146330;0;557101;0;0;64546;10064314679;0;203165;10208;44433;0;
46;0;0;190222;368740;177660;80166;286388;282;485;992;0;1275;12;12;0;0;0;107;2;32;0;319;18;20;19;14;59;21;250;406;952;0;0;0;0;0;0;51;144;1186;225;252;467;12;24;572;0;0;9;10;15;882;0;0;8;19;69;813;169;152;580;556207;200188;145915;0;555936;0;0;111044;10064273637;0;203037;10208;44561;0;
47;0;0;190215;368717;177655;80159;285434;302;498;616;0;1059;12;16;0;0;0;112;1;23;0;193;24;21;13;23;82;42;255;395;561;0;0;0;0;0;0;40;155;1068;212;241;413;10;27;525;0;2;13;7;22;942;0;1;12;32;90;883;173;182;565;556674;199972;146219;0;556184;0;0;67178;10064276999;0;203015;10208;44583;0;
48;0;0;190207;368695;177648;80155;284411;264;485;974;0;1353;18;11;0;0;0;99;0;32;0;210;18;20;23;27;80;43;219;385;908;0;0;0;0;0;0;51;162;1060;218;256;358;10;28;482;0;1;11;8;22;1016;0;0;7;31;89;943;188;171;611;555719;199967;145941;0;554954;0;0;69452;10064314221;0;202984;10208;44614;0;
49;0;0;190198;368671;177640;80151;283418;275;496;670;0;1164;13;10;0;0;0;96;0;31;0;127;21;24;19;21;84;45;233;388;606;0;0;0;0;0;0;53;177;914;258;274;323;10;28;460;0;2;14;9;24;979;0;0;14;44;100;853;211;206;593;555607;199911;146228;0;555567;0;0;71986;10064214585;0;202608;10208;44990;0;
50;0;0;190184;368651;177629;80149;282414;280;520;719;0;1153;9;16;0;0;0;81;3;25;0;232;24;23;20;25;67;52;231;430;647;0;0;0;0;0;0;53;182;819;231;248;294;11;26;428;0;0;14;14;20;994;0;0;10;36;105;893;220;207;604;555311;199941;145923;0;554361;0;0;74506;10064296897;0;202634;10208;44964;0;
51;0;0;190170;368639;177625;80146;281478;304;528;586;0;1138;16;14;0;0;0;103;0;14;0;133;26;28;30;32;87;55;246;413;501;0;0;0;0;0;0;58;188;780;230;263;251;8;36;442;0;0;8;14;12;930;0;0;6;34;118;755;209;209;645;554879;199919;146158;0;555211;0;0;82720;10064174719;0;202309;10208;45289;0;
52;0;0;190153;368617;177613;80141;280575;287;533;700;0;1087;20;22;0;0;0;77;1;22;0;291;34;16;17;26;95;41;227;422;642;0;0;0;0;0;0;71;189;722;251;273;211;15;34;402;0;0;10;17;22;898;0;0;5;36;114;742;223;199;602;555164;199897;146013;0;554352;0;0;129762;10064156501;0;202264;10208;45334;0;
53;0;0;190146;368591;177601;80134;279723;285;520;580;0;1075;12;21;0;0;0;88;0;26;0;163;24;26;19;24;89;52;237;405;509;0;0;0;0;0;0;46;209;694;222;281;173;10;38;378;0;0;7;7;26;844;0;0;8;45;132;697;221;216;585;554137;199781;146031;0;554152;0;0;132486;10064110575;0;202148;10208;45450;0;
