Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
54;0;0;190318;368888;178148;80046;298368;10;59;23;0;40;0;0;0;52;0;0;0;0;0;0;2;18;15;16;46;15;0;0;0;0;3;6;0;0;0;0;0;4;2;22;23;17;58;22;45;15;2;0;43;7;0;13130;10076383009;0;244380;13635;4;0;
55;0;0;190318;368888;178148;80046;298367;9;46;26;0;37;0;0;0;44;0;0;0;0;0;0;2;18;12;10;44;19;0;0;0;0;3;7;0;0;1;0;0;0;2;11;17;9;53;15;39;13;2;0;43;7;0;13130;10076382697;0;244379;13635;5;0;
56;0;0;190318;368888;178148;80046;298365;13;55;28;0;39;0;0;0;57;0;0;0;0;0;0;4;17;14;12;41;11;0;0;0;1;3;6;0;0;1;0;0;1;1;16;16;11;46;15;38;14;2;0;40;6;0;13130;10076383315;0;244381;13634;4;0;
57;0;0;190318;368888;178148;80046;298359;8;45;28;0;35;0;0;0;46;0;0;0;0;0;0;2;11;15;10;53;15;0;0;0;0;2;9;0;0;1;0;0;5;2;17;11;17;48;16;33;12;0;0;36;5;0;13130;10076383633;0;244382;13634;3;0;
58;0;0;190318;368888;178148;80046;298358;16;53;27;0;42;0;0;0;54;0;0;0;0;0;0;2;11;13;11;39;12;0;0;0;0;3;7;0;0;1;0;0;0;1;18;22;14;54;14;31;9;0;0;34;5;0;13130;10076383321;0;244381;13634;4;0;
59;0;0;190318;368888;178148;80046;298354;10;51;19;0;34;0;0;0;46;0;0;0;0;0;0;6;9;10;11;33;14;0;0;0;0;1;6;0;0;2;0;0;2;3;12;18;12;37;23;25;8;0;0;26;6;0;13130;10076384257;0;244384;13634;1;0;
60;0;0;190318;368888;178148;80046;298354;15;56;35;0;47;0;0;0;59;0;0;0;0;0;0;4;12;20;9;27;13;0;0;0;2;3;8;0;0;0;0;0;0;1;14;19;25;48;14;23;5;1;0;25;7;0;13130;10076384257;0;244384;13634;1;0;
61;0;0;190318;368887;178147;80046;298353;12;52;19;0;45;0;0;0;38;0;0;0;0;0;0;3;12;13;6;38;13;0;0;0;0;4;9;0;0;0;0;1;1;3;15;10;16;51;18;19;7;1;0;18;2;0;13130;10076384877;0;244386;13632;1;0;
62;0;0;190318;368887;178147;80046;298352;15;59;32;0;57;0;0;0;49;0;0;0;0;0;0;2;16;23;6;42;17;1;0;7;0;3;6;0;0;0;0;0;1;1;18;18;15;42;12;15;6;1;0;18;4;0;13122;10076384561;0;244385;13632;2;0;
63;0;0;190318;368887;178147;80046;298349;15;50;25;0;40;0;0;0;50;0;0;0;0;0;0;1;11;13;15;42;11;0;0;0;1;1;8;0;0;0;0;0;3;2;16;13;18;48;9;13;3;1;0;12;8;0;13130;10076385185;0;244387;13632;0;0;
64;0;0;190318;368886;178147;80046;298348;15;53;25;0;40;0;0;0;53;0;0;0;0;0;0;0;8;13;13;41;11;0;0;0;0;1;7;0;0;0;0;1;1;2;18;11;17;39;20;10;3;1;0;10;1;0;13130;10076384873;0;244386;13632;1;0;
65;0;0;190318;368886;178147;80046;298346;6;57;24;0;49;0;0;0;38;0;0;0;0;0;0;1;13;10;11;41;12;0;0;0;0;2;5;0;0;0;0;0;2;1;11;9;11;42;18;8;3;0;0;11;2;0;13130;10076384873;0;244386;13632;1;0;
66;0;0;190318;368885;178147;80045;298345;11;44;22;0;27;0;0;0;50;0;0;0;0;0;0;2;18;16;13;39;9;0;0;0;0;3;5;0;0;0;0;1;1;4;13;12;9;44;17;10;2;0;0;8;0;0;13130;10076384873;0;244386;13632;1;0;
67;0;0;190318;368884;178147;80044;298342;15;48;19;0;36;0;0;0;46;0;0;0;0;0;0;3;13;9;9;38;11;0;0;0;1;4;3;0;0;0;0;1;3;1;12;13;14;48;8;10;2;0;0;12;1;0;13130;10076384873;0;244386;13632;1;0;
68;0;0;190318;368884;178147;80044;298341;8;55;25;0;40;0;0;0;48;0;0;0;0;0;0;1;11;11;12;39;13;0;0;0;0;1;7;0;0;0;0;0;1;2;8;15;9;37;10;11;2;0;0;10;0;0;13130;10076384873;0;244386;13632;1;0;
69;0;0;190318;368884;178147;80044;298339;5;51;22;0;37;0;0;0;41;0;0;0;0;0;0;1;17;19;10;43;10;0;0;0;0;1;10;0;0;0;0;0;2;4;15;8;7;33;13;11;1;0;0;11;1;0;13130;10076385185;0;244387;13632;0;0;
70;0;0;190318;368884;178147;80044;298337;15;54;20;0;44;0;0;0;45;0;0;0;0;0;0;2;14;14;16;26;17;0;0;0;0;0;6;0;0;0;0;0;2;5;9;15;15;41;21;9;3;0;0;12;3;0;13130;10076385497;0;244388;13631;0;0;
71;0;0;190318;368884;178147;80044;298333;11;49;19;0;38;0;0;0;41;0;0;0;0;0;0;1;13;14;9;39;8;0;0;0;0;3;10;0;0;1;0;0;3;2;17;15;10;34;13;10;2;0;0;9;2;0;13130;10076385497;0;244388;13631;0;0;
72;0;0;190318;368884;178147;80044;298332;24;60;15;0;48;0;0;0;51;0;0;0;0;0;0;1;17;9;11;39;10;0;0;0;0;5;3;0;0;0;0;0;1;3;9;11;7;33;14;9;0;0;0;9;2;0;13130;10076385497;0;244388;13631;0;0;
